Entity,Code,Year,"Population, female (% of total population)"
Afghanistan,AFG,2020,48.32
Albania,ALB,2020,48.59
Algeria,DZA,2020,49.74
Angola,AGO,2020,49.34
Antigua and Barbuda,ATG,2020,53.27
Argentina,ARG,2020,49.56
Armenia,ARM,2020,51.82
Aruba,ABW,2020,50.98
Australia,AUS,2020,49.51
Austria,AUT,2020,53.42
Azerbaijan,AZE,2020,52.17
Bahamas,BHS,2020,52.17
Bahrain,BHR,2020,46.46
Bangladesh,BGD,2020,48.02
Barbados,BRB,2020,55.24
Belarus,BLR,2020,54.82
Belgium,BEL,2020,50.80
Belize,BLZ,2020,50.62
Benin,BEN,2020,52.43
Bhutan,BTN,2020,49.03
Bolivia,BOL,2020,50.45
Bosnia and Herzegovina,BIH,2020,50.94
Botswana,BWA,2020,51.48
Brazil,BRA,2020,50.21
Brunei,BRN,2020,48.39
Bulgaria,BGR,2020,50.07
Burkina Faso,BFA,2020,49.10
Burundi,BDI,2020,51.72
Cambodia,KHM,2020,50.09
Cameroon,CMR,2020,50.80
Canada,CAN,2020,49.44
Cape Verde,CPV,2020,53.06
Central African Republic,CAF,2020,50.76
Chad,TCD,2020,51.13
Channel Islands,OWID_CIS,2020,51.60
Chile,CHL,2020,49.98
China,CHN,2020,48.46
Colombia,COL,2020,50.48
Comoros,COM,2020,50.25
Congo,COG,2020,50.84
Costa Rica,CRI,2020,49.19
Cote d'Ivoire,CIV,2020,48.65
Croatia,HRV,2020,51.98
Cuba,CUB,2020,48.91
Curacao,CUW,2020,49.88
Cyprus,CYP,2020,50.84
Czechia,CZE,2020,51.37
Democratic Republic of Congo,COD,2020,52.23
Denmark,DNK,2020,50.38
Djibouti,DJI,2020,50.29
Dominican Republic,DOM,2020,49.37
East Asia and Pacific,,2020,49.13
Ecuador,ECU,2020,50.01
Egypt,EGY,2020,49.12
El Salvador,SLV,2020,50.77
Equatorial Guinea,GNQ,2020,50.93
Eritrea,ERI,2020,50.30
Estonia,EST,2020,55.85
Eswatini,SWZ,2020,51.54
Ethiopia,ETH,2020,50.29
Europe and Central Asia,,2020,52.60
European Union,,2020,51.83
Fiji,FJI,2020,48.49
Finland,FIN,2020,51.83
France,FRA,2020,51.49
French Polynesia,PYF,2020,48.58
Gabon,GAB,2020,51.13
Gambia,GMB,2020,50.23
Georgia,GEO,2020,53.41
Germany,DEU,2020,53.47
Ghana,GHA,2020,49.20
Greece,GRC,2020,50.98
Grenada,GRD,2020,53.62
Guam,GUM,2020,41.49
Guatemala,GTM,2020,49.37
Guinea,GIN,2020,50.53
Guinea-Bissau,GNB,2020,50.74
Guyana,GUY,2020,49.90
Haiti,HTI,2020,50.92
High income,,2020,51.10
Honduras,HND,2020,49.84
Hong Kong,HKG,2020,48.46
Hungary,HUN,2020,51.78
Iceland,ISL,2020,49.47
India,IND,2020,48.40
Indonesia,IDN,2020,50.31
Iran,IRN,2020,48.68
Iraq,IRQ,2020,49.70
Ireland,IRL,2020,49.73
Israel,ISR,2020,49.26
Italy,ITA,2020,51.38
Jamaica,JAM,2020,51.87
Japan,JPN,2020,50.78
Jordan,JOR,2020,47.73
Kazakhstan,KAZ,2020,51.86
Kenya,KEN,2020,49.81
Kiribati,KIR,2020,50.64
Kuwait,KWT,2020,35.75
Kyrgyzstan,KGZ,2020,52.49
Laos,LAO,2020,50.86
Latin America and Caribbean,,2020,50.04
Latvia,LVA,2020,55.87
Lebanon,LBN,2020,49.72
Lesotho,LSO,2020,55.66
Liberia,LBR,2020,49.41
Libya,LBY,2020,48.69
Lithuania,LTU,2020,53.90
Low and middle income,,2020,49.59
Low income,,2020,50.68
Lower middle income,,2020,49.27
Luxembourg,LUX,2020,50.61
Macao,MAC,2020,50.86
Madagascar,MDG,2020,49.15
Malawi,MWI,2020,51.09
Malaysia,MYS,2020,49.10
Maldives,MDV,2020,45.55
Mali,MLI,2020,49.45
Malta,MLT,2020,51.54
Mauritania,MRT,2020,50.51
Mauritius,MUS,2020,50.14
Mexico,MEX,2020,50.10
Micronesia (country),FSM,2020,48.49
Middle East and North Africa,,2020,49.33
Middle income,,2020,49.52
Moldova,MDA,2020,53.22
Mongolia,MNG,2020,50.83
Montenegro,MNE,2020,51.31
Morocco,MAR,2020,50.17
Mozambique,MOZ,2020,51.08
Myanmar,MMR,2020,50.75
Namibia,NAM,2020,50.83
Nepal,NPL,2020,50.14
Netherlands,NLD,2020,50.21
New Caledonia,NCL,2020,47.29
New Zealand,NZL,2020,49.75
Nicaragua,NIC,2020,50.09
Niger,NER,2020,52.89
Nigeria,NGA,2020,50.09
North America,,2020,50.36
North Korea,PRK,2020,53.79
North Macedonia,MKD,2020,49.39
Norway,NOR,2020,50.19
Oman,OMN,2020,50.47
Pakistan,PAK,2020,46.41
Palestine,PSE,2020,49.03
Panama,PAN,2020,48.96
Papua New Guinea,PNG,2020,48.28
Paraguay,PRY,2020,50.77
Peru,PER,2020,49.83
Philippines,PHL,2020,49.68
Poland,POL,2020,51.63
Portugal,PRT,2020,52.21
Puerto Rico,PRI,2020,50.65
Qatar,QAT,2020,43.52
Romania,ROU,2020,51.17
Russia,RUS,2020,55.21
Rwanda,RWA,2020,50.89
Saint Lucia,LCA,2020,51.88
Saint Vincent and the Grenadines,VCT,2020,53.12
Samoa,WSM,2020,49.25
Sao Tome and Principe,STP,2020,44.38
Saudi Arabia,SAU,2020,49.78
Senegal,SEN,2020,50.32
Serbia,SRB,2020,50.80
Seychelles,SYC,2020,51.13
Sierra Leone,SLE,2020,51.04
Singapore,SGP,2020,47.32
Slovakia,SVK,2020,50.64
Slovenia,SVN,2020,52.10
Solomon Islands,SLB,2020,46.35
Somalia,SOM,2020,50.52
South Africa,ZAF,2020,50.14
South Asia,,2020,48.22
South Korea,KOR,2020,49.66
South Sudan,SSD,2020,49.77
Spain,ESP,2020,51.43
Sri Lanka,LKA,2020,47.51
Sub-Saharan Africa,,2020,50.40
Sudan,SDN,2020,50.05
Suriname,SUR,2020,50.01
Sweden,SWE,2020,50.12
Switzerland,CHE,2020,51.56
Syria,SYR,2020,48.88
Tajikistan,TJK,2020,51.36
Tanzania,TZA,2020,50.83
Thailand,THA,2020,49.93
Timor,TLS,2020,49.26
Togo,TGO,2020,50.73
Tonga,TON,2020,49.23
Trinidad and Tobago,TTO,2020,49.82
Tunisia,TUN,2020,50.17
Turkey,TUR,2020,50.16
Turkmenistan,TKM,2020,51.24
Uganda,UGA,2020,50.26
Ukraine,UKR,2020,55.39
United Arab Emirates,ARE,2020,49.94
United Kingdom,GBR,2020,51.71
United States,USA,2020,50.46
United States Virgin Islands,VIR,2020,50.42
Upper middle income,,2020,49.75
Uruguay,URY,2020,49.96
Uzbekistan,UZB,2020,51.98
