Entity,Country Code,Indicator Name,Indicator Code,Bank branches per 1000000 adults 
Aruba,ABW,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,12.41044734
Africa Eastern and Southern,AFE,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.05257701
Afghanistan,AFG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Africa Western and Central,AFW,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.119399931
Angola,AGO,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.208845283
Albania,ALB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,18.57125701
Andorra,AND,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Arab World,ARB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,11.31937531
United Arab Emirates,ARE,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.597135433
Argentina,ARG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.09899281
Armenia,ARM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,24.24535276
American Samoa,ASM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Antigua and Barbuda,ATG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,19.41219863
Australia,AUS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,24.06429641
Austria,AUT,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,12.3494261
Azerbaijan,AZE,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,6.499376575
Burundi,BDI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Belgium,BEL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Benin,BEN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,3.459229534
Burkina Faso,BFA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.887027214
Bangladesh,BGD,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.975322319
Bulgaria,BGR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,61.47244076
Bahrain,BHR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
"Bahamas, The",BHS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,24.64907086
Bosnia and Herzegovina,BIH,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,29.84552884
Belarus,BLR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Belize,BLZ,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,18.02757526
Bermuda,BMU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Bolivia,BOL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,72.06519143
Brazil,BRA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,17.12854334
Barbados,BRB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,13.74484568
Brunei Darussalam,BRN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.24384329
Bhutan,BTN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,20.90425342
Botswana,BWA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.47359951
Central African Republic,CAF,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Canada,CAN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,20.69064035
Central Europe and the Baltics,CEB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,21.65998698
Switzerland,CHE,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,36.39312476
Channel Islands,CHI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Chile,CHL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,11.14443444
China,CHN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.770033509
Cote d'Ivoire,CIV,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.777429758
Cameroon,CMR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
"Congo, Dem. Rep.",COD,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
"Congo, Rep.",COG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.813990442
Colombia,COL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,12.77799825
Comoros,COM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,4.777532368
Cabo Verde,CPV,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,42.07159552
Costa Rica,CRI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.34175885
Caribbean small states,CSS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.660922884
Cuba,CUB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Curacao,CUW,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Cayman Islands,CYM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Cyprus,CYP,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,28.25979714
Czechia,CZE,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,17.3343441
Germany,DEU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Djibouti,DJI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.94426882
Dominica,DMA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,11.08463116
Denmark,DNK,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,17.51853161
Dominican Republic,DOM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,11.2438859
Algeria,DZA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,5.262243687
East Asia & Pacific (excluding high income),EAP,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.770033509
Early-demographic dividend,EAR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,9.473260652
East Asia & Pacific,EAS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,9.650232366
Europe & Central Asia (excluding high income),ECA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,20.49687026
Europe & Central Asia,ECS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,21.05214625
Ecuador,ECU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
"Egypt, Arab Rep.",EGY,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,6.785079273
Euro area,EMU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.77561975
Eritrea,ERI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Spain,ESP,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,37.4201598
Estonia,EST,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.476756745
Ethiopia,ETH,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
European Union,EUU,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,21.05214625
Fragile and conflict affected situations,FCS,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,3.855584332
Finland,FIN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,6.161019529
Fiji,FJI,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,10.59401251
France,FRA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,33.27043929
Faroe Islands,FRO,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
"Micronesia, Fed. Sts.",FSM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,12.46012759
Gabon,GAB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
United Kingdom,GBR,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Georgia,GEO,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,31.2452553
Ghana,GHA,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,11.48961999
Gibraltar,GIB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Guinea,GIN,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,2.677093969
"Gambia, The",GMB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,7.228800112
Guinea-Bissau,GNB,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,3.99917634
Equatorial Guinea,GNQ,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Greece,GRC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,16.77561975
Grenada,GRD,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,22.05046074
Greenland,GRL,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Guatemala,GTM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,24.02600835
Guam,GUM,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,
Guyana,GUY,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,8.025598169
High income,HIC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,17.42643785
"Hong Kong SAR, China",HKG,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,19.83414991
Honduras,HND,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,15.51179394
Heavily indebted poor countries (HIPC),HPC,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,3.585610929
Croatia,HRV,"Commercial bank branches (per 100,000 adults)",FB.CBK.BRCH.P5,26.838159
