LOCATION,SUBJECT,MEASURE,FREQUENCY,TIME,Value
JPN,GROSSADJ,USD_CAP,A,1994,16124
JPN,GROSSADJ,USD_CAP,A,1995,16738
JPN,GROSSADJ,USD_CAP,A,1996,17138
JPN,GROSSADJ,USD_CAP,A,1997,17605
JPN,GROSSADJ,USD_CAP,A,1998,17790
JPN,GROSSADJ,USD_CAP,A,1999,18042
JPN,GROSSADJ,USD_CAP,A,2000,19176
JPN,GROSSADJ,USD_CAP,A,2001,19244
JPN,GROSSADJ,USD_CAP,A,2002,20194
JPN,GROSSADJ,USD_CAP,A,2003,20868
JPN,GROSSADJ,USD_CAP,A,2004,21750
JPN,GROSSADJ,USD_CAP,A,2005,23049
JPN,GROSSADJ,USD_CAP,A,2006,23987
JPN,GROSSADJ,USD_CAP,A,2007,24916
JPN,GROSSADJ,USD_CAP,A,2008,25394
JPN,GROSSADJ,USD_CAP,A,2009,25581
JPN,GROSSADJ,USD_CAP,A,2010,26402
JPN,GROSSADJ,USD_CAP,A,2011,27300
JPN,GROSSADJ,USD_CAP,A,2012,28447
JPN,GROSSADJ,USD_CAP,A,2013,30474
JPN,GROSSADJ,USD_CAP,A,2014,30032
JPN,GROSSADJ,USD_CAP,A,2015,30597
JPN,GROSSADJ,USD_CAP,A,2016,29290
JPN,GROSSADJ,USD_CAP,A,2017,29916
JPN,GROSSADJ,USD_CAP,A,2018,30778
JPN,GROSSADJ,USD_CAP,A,2019,30911
JPN,GROSSADJ,USD_CAP,A,2020,32639
NLD,GROSSADJ,USD_CAP,A,1995,16293
NLD,GROSSADJ,USD_CAP,A,1996,16965
NLD,GROSSADJ,USD_CAP,A,1997,17912
NLD,GROSSADJ,USD_CAP,A,1998,18874
NLD,GROSSADJ,USD_CAP,A,1999,19897
NLD,GROSSADJ,USD_CAP,A,2000,22258
NLD,GROSSADJ,USD_CAP,A,2001,23851
NLD,GROSSADJ,USD_CAP,A,2002,25565
NLD,GROSSADJ,USD_CAP,A,2003,24510
NLD,GROSSADJ,USD_CAP,A,2004,25479
NLD,GROSSADJ,USD_CAP,A,2005,25671
NLD,GROSSADJ,USD_CAP,A,2006,27661
NLD,GROSSADJ,USD_CAP,A,2007,29187
NLD,GROSSADJ,USD_CAP,A,2008,30386
NLD,GROSSADJ,USD_CAP,A,2009,30120
NLD,GROSSADJ,USD_CAP,A,2010,29941
NLD,GROSSADJ,USD_CAP,A,2011,30360
NLD,GROSSADJ,USD_CAP,A,2012,31073
NLD,GROSSADJ,USD_CAP,A,2013,31686
NLD,GROSSADJ,USD_CAP,A,2014,31935
NLD,GROSSADJ,USD_CAP,A,2015,32194
NLD,GROSSADJ,USD_CAP,A,2016,33258
NLD,GROSSADJ,USD_CAP,A,2017,34380
NLD,GROSSADJ,USD_CAP,A,2018,36264
NLD,GROSSADJ,USD_CAP,A,2019,38038
NLD,GROSSADJ,USD_CAP,A,2020,39698
NLD,GROSSADJ,USD_CAP,A,2021,41353
CZE,GROSSADJ,USD_CAP,A,1995,9323
CZE,GROSSADJ,USD_CAP,A,1996,10167
CZE,GROSSADJ,USD_CAP,A,1997,10574
CZE,GROSSADJ,USD_CAP,A,1998,10536
CZE,GROSSADJ,USD_CAP,A,1999,10952
CZE,GROSSADJ,USD_CAP,A,2000,11910
CZE,GROSSADJ,USD_CAP,A,2001,12988
CZE,GROSSADJ,USD_CAP,A,2002,13688
CZE,GROSSADJ,USD_CAP,A,2003,14255
CZE,GROSSADJ,USD_CAP,A,2004,14876
CZE,GROSSADJ,USD_CAP,A,2005,15268
CZE,GROSSADJ,USD_CAP,A,2006,15931
CZE,GROSSADJ,USD_CAP,A,2007,16992
CZE,GROSSADJ,USD_CAP,A,2008,17935
CZE,GROSSADJ,USD_CAP,A,2009,18629
CZE,GROSSADJ,USD_CAP,A,2010,19246
CZE,GROSSADJ,USD_CAP,A,2011,19394
CZE,GROSSADJ,USD_CAP,A,2012,19842
CZE,GROSSADJ,USD_CAP,A,2013,20842
CZE,GROSSADJ,USD_CAP,A,2014,21890
CZE,GROSSADJ,USD_CAP,A,2015,22313
CZE,GROSSADJ,USD_CAP,A,2016,23664
CZE,GROSSADJ,USD_CAP,A,2017,25424
CZE,GROSSADJ,USD_CAP,A,2018,26771
CZE,GROSSADJ,USD_CAP,A,2019,28747
CZE,GROSSADJ,USD_CAP,A,2020,29164
CZE,GROSSADJ,USD_CAP,A,2021,30811
EU,GROSSADJ,USD_CAP,A,1999,15986
EU,GROSSADJ,USD_CAP,A,2000,17410
EU,GROSSADJ,USD_CAP,A,2001,18447
EU,GROSSADJ,USD_CAP,A,2002,19698
EU,GROSSADJ,USD_CAP,A,2003,19794
EU,GROSSADJ,USD_CAP,A,2004,20597
EU,GROSSADJ,USD_CAP,A,2005,20839
EU,GROSSADJ,USD_CAP,A,2006,21874
EU,GROSSADJ,USD_CAP,A,2007,22918
EU,GROSSADJ,USD_CAP,A,2008,24074
EU,GROSSADJ,USD_CAP,A,2009,24011
EU,GROSSADJ,USD_CAP,A,2010,24911
EU,GROSSADJ,USD_CAP,A,2011,25498
EU,GROSSADJ,USD_CAP,A,2012,25981
EU,GROSSADJ,USD_CAP,A,2013,26642
EU,GROSSADJ,USD_CAP,A,2014,27038
EU,GROSSADJ,USD_CAP,A,2015,27561
EU,GROSSADJ,USD_CAP,A,2016,29233
EU,GROSSADJ,USD_CAP,A,2017,30303
EU,GROSSADJ,USD_CAP,A,2018,31561
EU,GROSSADJ,USD_CAP,A,2019,33466
EU,GROSSADJ,USD_CAP,A,2020,34078
EU,GROSSADJ,USD_CAP,A,2021,35355
DEU,GROSSADJ,USD_CAP,A,1995,19222
DEU,GROSSADJ,USD_CAP,A,1996,19864
DEU,GROSSADJ,USD_CAP,A,1997,20066
DEU,GROSSADJ,USD_CAP,A,1998,20352
DEU,GROSSADJ,USD_CAP,A,1999,21300
DEU,GROSSADJ,USD_CAP,A,2000,22437
DEU,GROSSADJ,USD_CAP,A,2001,23546
DEU,GROSSADJ,USD_CAP,A,2002,24521
DEU,GROSSADJ,USD_CAP,A,2003,25070
DEU,GROSSADJ,USD_CAP,A,2004,25971
DEU,GROSSADJ,USD_CAP,A,2005,26001
DEU,GROSSADJ,USD_CAP,A,2006,26890
DEU,GROSSADJ,USD_CAP,A,2007,27926
DEU,GROSSADJ,USD_CAP,A,2008,29093
DEU,GROSSADJ,USD_CAP,A,2009,29162
DEU,GROSSADJ,USD_CAP,A,2010,30705
DEU,GROSSADJ,USD_CAP,A,2011,32107
DEU,GROSSADJ,USD_CAP,A,2012,33295
DEU,GROSSADJ,USD_CAP,A,2013,34224
DEU,GROSSADJ,USD_CAP,A,2014,35130
DEU,GROSSADJ,USD_CAP,A,2015,35492
DEU,GROSSADJ,USD_CAP,A,2016,37894
DEU,GROSSADJ,USD_CAP,A,2017,39272
DEU,GROSSADJ,USD_CAP,A,2018,41170
DEU,GROSSADJ,USD_CAP,A,2019,42753
DEU,GROSSADJ,USD_CAP,A,2020,43754
DEU,GROSSADJ,USD_CAP,A,2021,44426
EA,GROSSADJ,USD_CAP,A,1999,18426
EA,GROSSADJ,USD_CAP,A,2000,20058
EA,GROSSADJ,USD_CAP,A,2001,21174
EA,GROSSADJ,USD_CAP,A,2002,22494
EA,GROSSADJ,USD_CAP,A,2003,22508
EA,GROSSADJ,USD_CAP,A,2004,23311
EA,GROSSADJ,USD_CAP,A,2005,23538
EA,GROSSADJ,USD_CAP,A,2006,24671
EA,GROSSADJ,USD_CAP,A,2007,25654
EA,GROSSADJ,USD_CAP,A,2008,26708
EA,GROSSADJ,USD_CAP,A,2009,26519
EA,GROSSADJ,USD_CAP,A,2010,27355
EA,GROSSADJ,USD_CAP,A,2011,27844
EA,GROSSADJ,USD_CAP,A,2012,28237
EA,GROSSADJ,USD_CAP,A,2013,28978
EA,GROSSADJ,USD_CAP,A,2014,29386
EA,GROSSADJ,USD_CAP,A,2015,29880
EA,GROSSADJ,USD_CAP,A,2016,31583
EA,GROSSADJ,USD_CAP,A,2017,32609
EA,GROSSADJ,USD_CAP,A,2018,33853
EA,GROSSADJ,USD_CAP,A,2019,35719
EA,GROSSADJ,USD_CAP,A,2020,36172
EA,GROSSADJ,USD_CAP,A,2021,37262
GRC,GROSSADJ,USD_CAP,A,1995,13181
GRC,GROSSADJ,USD_CAP,A,1996,13482
GRC,GROSSADJ,USD_CAP,A,1997,13802
GRC,GROSSADJ,USD_CAP,A,1998,14461
GRC,GROSSADJ,USD_CAP,A,1999,14580
GRC,GROSSADJ,USD_CAP,A,2000,15716
GRC,GROSSADJ,USD_CAP,A,2001,16983
GRC,GROSSADJ,USD_CAP,A,2002,18883
GRC,GROSSADJ,USD_CAP,A,2003,19470
GRC,GROSSADJ,USD_CAP,A,2004,20563
GRC,GROSSADJ,USD_CAP,A,2005,20437
GRC,GROSSADJ,USD_CAP,A,2006,22140
GRC,GROSSADJ,USD_CAP,A,2007,22953
GRC,GROSSADJ,USD_CAP,A,2008,24399
GRC,GROSSADJ,USD_CAP,A,2009,24535
GRC,GROSSADJ,USD_CAP,A,2010,22098
GRC,GROSSADJ,USD_CAP,A,2011,20130
GRC,GROSSADJ,USD_CAP,A,2012,18710
GRC,GROSSADJ,USD_CAP,A,2013,18672
GRC,GROSSADJ,USD_CAP,A,2014,19286
GRC,GROSSADJ,USD_CAP,A,2015,19593
GRC,GROSSADJ,USD_CAP,A,2016,20286
GRC,GROSSADJ,USD_CAP,A,2017,20670
GRC,GROSSADJ,USD_CAP,A,2018,21203
GRC,GROSSADJ,USD_CAP,A,2019,22824
GRC,GROSSADJ,USD_CAP,A,2020,22154
GRC,GROSSADJ,USD_CAP,A,2021,23784
PRT,GROSSADJ,USD_CAP,A,1995,11891
PRT,GROSSADJ,USD_CAP,A,1996,12310
PRT,GROSSADJ,USD_CAP,A,1997,12845
PRT,GROSSADJ,USD_CAP,A,1998,13481
PRT,GROSSADJ,USD_CAP,A,1999,14471
PRT,GROSSADJ,USD_CAP,A,2000,15890
PRT,GROSSADJ,USD_CAP,A,2001,16480
PRT,GROSSADJ,USD_CAP,A,2002,17407
PRT,GROSSADJ,USD_CAP,A,2003,17601
PRT,GROSSADJ,USD_CAP,A,2004,18199
PRT,GROSSADJ,USD_CAP,A,2005,18876
PRT,GROSSADJ,USD_CAP,A,2006,19596
PRT,GROSSADJ,USD_CAP,A,2007,20045
PRT,GROSSADJ,USD_CAP,A,2008,20962
PRT,GROSSADJ,USD_CAP,A,2009,21058
PRT,GROSSADJ,USD_CAP,A,2010,21541
PRT,GROSSADJ,USD_CAP,A,2011,20912
PRT,GROSSADJ,USD_CAP,A,2012,20931
