Bank,Symbol,marketcap,price (USD),country
JPMorgan Chase,JPM,404605599744.00,137.94,United States
Bank of America,BAC,276051820544.00,34.41,United States
ICBC,1398.HK,214973983579.00,0.53,China
Wells Fargo,WFC,163088973824.00,42.80,United States
China Construction Bank,601939.SS,161346126586.00,0.82,China
Charles Schwab,SCHW,157814194176.00,84.54,United States
Morgan Stanley,MS,147986022400.00,87.56,United States
Agricultural Bank of China,601288.SS,146208396502.00,0.42,China
CM Bank,3968.HK,142168923819.00,5.87,China
HSBC,HSBC,137022816256.00,34.31,United Kingdom
Royal Bank Of Canada,RY,135095091200.00,96.98,Canada
Bank of China,601988.SS,129290211423.00,0.47,China
HDFC Bank,HDB,125291208704.00,67.40,India
Goldman Sachs,GS,117872066560.00,348.08,United States
Toronto Dominion Bank,TD,117809094656.00,64.24,Canada
Commonwealth Bank,CBA.AX,117654700249.00,69.68,Australia
Citigroup,C,91632377856.00,47.31,United States
Mitsubishi UFJ Financial,MUFG,89732816896.00,6.94,Japan
Al Rajhi Bank,1120.SR,80617672656.00,20.15,Saudi Arabia
BNP Paribas,BNP.PA,76772676083.00,62.23,France
ICICI Bank,IBN,74440327168.00,21.27,India
U.S. Bancorp,USB,70865420288.00,46.31,United States
Bank of Montreal,BMO,67449073664.00,95.13,Canada
PNC Financial Services,PNC,66229018624.00,164.21,United States
DBS Group,D05.SI,65962545605.00,25.63,Singapore
Bank Central Asia,BBCA.JK,65571811249.00,0.53,Indonesia
State Bank of India,SBIN.NS,64938788610.00,7.28,India
UBS,UBS,63422840832.00,19.89,Switzerland
National Australia Bank,NAB.AX,63364084582.00,20.10,Australia
Postal Savings Bank of China,601658.SS,63121231777.00,0.69,China
Truist Financial,TFC,60845674496.00,45.86,United States
Scotiabank,BNS,60048470016.00,49.98,Canada
The Saudi National Bank,1180.SR,58727641014.00,13.23,Saudi Arabia
Housing Development Finance Corporation,HDFC.NS,57448941620.00,31.45,India
Sumitomo Mitsui Financial Group,SMFG,55323672576.00,8.13,Japan
Westpac Banking,WBC.AX,55250259595.00,15.80,Australia
Industrial Bank,601166.SS,54653318549.00,2.63,China
Santander,SAN,54504001536.00,3.20,Spain
First Abu Dhabi Bank,FAB.AE,50232828330.00,4.55,United Arab Emirates
Bank of Communications,601328.SS,48561423479.00,0.70,China
