LOCATION,TIME,Value
BEL,2008,1.5
BEL,2009,0.23
BEL,2010,-1.55
BEL,2011,-1.13
BEL,2012,0.23
BEL,2013,-0.18
BEL,2014,0
BEL,2015,0.08
BEL,2016,0.85
BEL,2017,1.56
BEL,2018,0.71
BEL,2019,2.06
BEL,2020,0.84
GBR,2008,-1.38
GBR,2009,0.75
GBR,2010,0.11
GBR,2011,-3.16
GBR,2012,1.63
GBR,2013,1.45
GBR,2014,1.67
GBR,2015,5.41
GBR,2016,-0.13
GBR,2017,0.44
GBR,2018,1.8
GBR,2019,1.55
GBR,2020,-1.75
USA,2008,0.38
USA,2009,-0.89
USA,2010,1.21
USA,2011,1.3
USA,2012,2.47
USA,2013,-1.73
USA,2014,3.01
USA,2015,3.01
USA,2016,1.14
USA,2017,2.02
USA,2018,2.66
USA,2019,2.88
USA,2020,6.24
OECD,2008,0.39
OECD,2009,-0.5
OECD,2010,0.62
OECD,2011,0.54
OECD,2012,0.89
OECD,2013,0.14
OECD,2014,1.69
OECD,2015,2.38
OECD,2016,1.4
OECD,2017,1.65
OECD,2018,2.01
OECD,2019,2.14
OECD,2020,3.34
