Continent ,Country ,Menstrual products VAT (%) 
Africa,Algeria,19.00
Africa,Angola,14.00
Africa,Benin,18.00
Africa,Botswana,12.00
Africa,Burkina Faso,18.00
Africa,Burundi,18.00
Africa,Cabo Verde,15.00
Africa,Cameroon,19.25
Africa,Central African Republic,19.00
Africa,Chad,18.00
Africa,Djibouti,10.00
Africa,Demoratic Republic of Congo,16.00
Africa,Egypt,14.00
Africa,Equatorial Guinea,15.00
Africa,Eritrea,5-12
Africa,Ethiopia,10.00
Africa,Gabon,18.00
Africa,Gambia,15.00
Africa,Ghana,12.50
Africa,Guinea,18.00
Africa,Guinea-Bissau,17.00
Africa,Ivory Coast,18.00
Africa,Kenya,0.00
Africa,Lesotho,0.00
Africa,Liberia,10.00
Africa,Libya,0.00
Africa,Madagascar,20.00
Africa,Malawi,0.00
Africa,Mali,18.00
Africa,Mauritania,16.00
Africa,Mauritius,0.00
Africa,Morocco,20.00
Africa,Mozambique,17.00
Africa,Namibia,15.00
Africa,Niger,19.00
Africa,Nigeria,0.00
Africa,Republic of Congo,18.90
Africa,Rwanda,0.00
Africa,Senegal,18.00
Africa,Sierra Leone,15.00
Africa,South Africa,0.00
Africa,South Sudan,18.00
Africa,Sudan,17.00
Africa,Tanzania,18.00
Africa,Togo,18.00
Africa,Tunisia,19.00
Africa,Uganda,0.00
Africa,Zambia,16.00
Africa,Zimbabwe,15.00
