Country Name,Country Code,Indicator Code,Year,Real interest rate (%),,,,,,,,
United States,USA,FR.INR.RINR,1961,3.107884875,,,,,,,,
United States,USA,FR.INR.RINR,1962,3.215345976,,,,,,,,
United States,USA,FR.INR.RINR,1963,3.374882242,,,,,,,,
United States,USA,FR.INR.RINR,1964,2.951669,,,,,,,,
United States,USA,FR.INR.RINR,1965,2.565913126,,,,,,,,
United States,USA,FR.INR.RINR,1966,2.649420629,,,,,,,,
United States,USA,FR.INR.RINR,1967,2.406227032,,,,,,,,
United States,USA,FR.INR.RINR,1968,1.863911247,,,,,,,,
United States,USA,FR.INR.RINR,1969,2.851773364,,,,,,,,
United States,USA,FR.INR.RINR,1970,2.25016222,,,,,,,,
United States,USA,FR.INR.RINR,1971,0.622604944,,,,,,,,
United States,USA,FR.INR.RINR,1972,0.887229189,,,,,,,,
United States,USA,FR.INR.RINR,1973,2.409735327,,,,,,,,
United States,USA,FR.INR.RINR,1974,1.651064469,,,,,,,,
United States,USA,FR.INR.RINR,1975,-1.281419172,,,,,,,,
United States,USA,FR.INR.RINR,1976,1.266891651,,,,,,,,
United States,USA,FR.INR.RINR,1977,0.575068853,,,,,,,,
United States,USA,FR.INR.RINR,1978,1.88990329,,,,,,,,
United States,USA,FR.INR.RINR,1979,4.03454769,,,,,,,,
United States,USA,FR.INR.RINR,1980,5.716390483,,,,,,,,
United States,USA,FR.INR.RINR,1981,8.594619798,,,,,,,,
United States,USA,FR.INR.RINR,1982,8.177347436,,,,,,,,
United States,USA,FR.INR.RINR,1983,6.618160219,,,,,,,,
United States,USA,FR.INR.RINR,1984,8.141088111,,,,,,,,
United States,USA,FR.INR.RINR,1985,6.563326569,,,,,,,,
United States,USA,FR.INR.RINR,1986,6.193860265,,,,,,,,
United States,USA,FR.INR.RINR,1987,5.592237906,,,,,,,,
United States,USA,FR.INR.RINR,1988,5.590382201,,,,,,,,
United States,USA,FR.INR.RINR,1989,6.690686925,,,,,,,,
United States,USA,FR.INR.RINR,1990,6.039749199,,,,,,,,
United States,USA,FR.INR.RINR,1991,4.915346478,,,,,,,,
United States,USA,FR.INR.RINR,1992,3.884238043,,,,,,,,
United States,USA,FR.INR.RINR,1993,3.545617239,,,,,,,,
United States,USA,FR.INR.RINR,1994,4.898309951,,,,,,,,
United States,USA,FR.INR.RINR,1995,6.59399638,,,,,,,,
United States,USA,FR.INR.RINR,1996,6.324073707,,,,,,,,
United States,USA,FR.INR.RINR,1997,6.603364861,,,,,,,,
United States,USA,FR.INR.RINR,1998,7.148178448,,,,,,,,
United States,USA,FR.INR.RINR,1999,6.493426418,,,,,,,,
United States,USA,FR.INR.RINR,2000,6.813424288,,,,,,,,
United States,USA,FR.INR.RINR,2001,4.565847929,,,,,,,,
United States,USA,FR.INR.RINR,2002,3.068642849,,,,,,,,
United States,USA,FR.INR.RINR,2003,2.107310811,,,,,,,,
United States,USA,FR.INR.RINR,2004,1.612310954,,,,,,,,
United States,USA,FR.INR.RINR,2005,2.96050633,,,,,,,,
United States,USA,FR.INR.RINR,2006,4.726089653,,,,,,,,
United States,USA,FR.INR.RINR,2007,5.206759376,,,,,,,,
United States,USA,FR.INR.RINR,2008,3.109920825,,,,,,,,
United States,USA,FR.INR.RINR,2009,2.592428971,,,,,,,,
United States,USA,FR.INR.RINR,2010,2.023885488,,,,,,,,
United States,USA,FR.INR.RINR,2011,1.148425191,,,,,,,,
United States,USA,FR.INR.RINR,2012,1.3540752,,,,,,,,
United States,USA,FR.INR.RINR,2013,1.473254279,,,,,,,,
United States,USA,FR.INR.RINR,2014,1.354775792,,,,,,,,
United States,USA,FR.INR.RINR,2015,2.237075495,,,,,,,,
United States,USA,FR.INR.RINR,2016,2.484530342,,,,,,,,
United States,USA,FR.INR.RINR,2017,2.156099051,,,,,,,,
United States,USA,FR.INR.RINR,2018,2.441415026,,,,,,,,
United States,USA,FR.INR.RINR,2019,3.427089888,,,,,,,,
United States,USA,FR.INR.RINR,2020,2.21041068,,,,,,,,
United States,USA,FR.INR.RINR,2021,-1.189356901,,,,,,,,
