Country or Area,Year,Value
China,2020,17189.28179
China,2019,16652.0988
China,2018,15495.54842
China,2017,14243.53261
China,2016,13483.37727
China,2015,12897.50229
China,2014,12480.33853
China,2013,11872.49738
China,2012,11168.6973
China,2011,10292.94048
China,2010,9254.779603
Colombia,2020,14868.46982
Colombia,2019,15673.09435
Colombia,2018,15044.05534
Colombia,2017,14171.3205
Colombia,2016,13812.09606
Colombia,2015,13265.79726
Colombia,2014,13307.4245
Colombia,2013,12727.76493
Colombia,2012,12018.65128
Colombia,2011,11604.10228
Colombia,2010,10732.82234
"Hong Kong SAR, China",2020,58980.01105
"Hong Kong SAR, China",2019,62103.41335
"Hong Kong SAR, China",2018,62513.95527
"Hong Kong SAR, China",2017,59842.213
"Hong Kong SAR, China",2016,57225.09
"Hong Kong SAR, China",2015,56408.93627
"Hong Kong SAR, China",2014,54781.64716
"Hong Kong SAR, China",2013,53691.83748
"Hong Kong SAR, China",2012,52234.59232
"Hong Kong SAR, China",2011,52277.46644
"Hong Kong SAR, China",2010,49190.61995
India,2020,6525.428052
India,2019,6971.687276
India,2018,6669.622784
India,2017,6182.922109
India,2016,5839.864817
India,2015,5464.859178
India,2014,5233.882343
India,2013,5057.233414
India,2012,4861.156152
India,2011,4493.669466
India,2010,4237.208788
Japan,2020,42100.25769
Japan,2019,42282.55089
Japan,2018,42116.47435
Japan,2017,41444.21574
Japan,2016,40596.96866
Japan,2015,40898.80697
Japan,2014,39555.41201
Japan,2013,39402.0251
Japan,2012,37605.97426
Japan,2011,36214.43977
Japan,2010,35335.37351
Malaysia,2020,27921.41095
Malaysia,2019,29620.97866
Malaysia,2018,28236.20719
Malaysia,2017,26661.50742
Malaysia,2016,25546.12952
Malaysia,2015,24801.88843
Malaysia,2014,24607.66873
Malaysia,2013,23477.99117
Malaysia,2012,22985.80166
Malaysia,2011,21704.74427
Malaysia,2010,20511.00574
Philippines,2020,8394.242258
Philippines,2019,9290.966062
Philippines,2018,8719.587979
Philippines,2017,8120.868793
Philippines,2016,7703.762275
Philippines,2015,7186.76928
Philippines,2014,6960.900716
Philippines,2013,6614.683524
Philippines,2012,6296.827614
Philippines,2011,5865.343551
Philippines,2010,5626.897925
Singapore,2020,99681.29415
Singapore,2019,102431.3157
Singapore,2018,100686.2371
Singapore,2017,95310.33386
Singapore,2016,89436.59811
Singapore,2015,86974.74762
Singapore,2014,84423.19134
Singapore,2013,83001.7878
Singapore,2012,82064.96119
Singapore,2011,80052.3915
Singapore,2010,75389.76818
Thailand,2020,18197.94241
Thailand,2019,19216.84294
Thailand,2018,18533.96473
Thailand,2017,17422.95235
Thailand,2016,16616.195
Thailand,2015,15822.37099
Thailand,2014,15480.21079
Thailand,2013,15407.6654
Thailand,2012,14870.97555
Thailand,2011,13519.12902
Thailand,2010,13196.8176
