Bank,Company,Fossil Fuel Financing
JPMorgan Chase,QatarEnergy," 1,744,444,445 "
JPMorgan Chase,Gazprom," 2,966,943,250 "
JPMorgan Chase,Saudi Aramco," 7,533,981,589 "
JPMorgan Chase,ExxonMobil," 15,330,564,109 "
JPMorgan Chase,Petro_leo Brasileiro (Petrobras)," 4,504,104,069 "
JPMorgan Chase,TotalEnergies," 2,800,295,913 "
JPMorgan Chase,Chevron," 3,456,276,374 "
JPMorgan Chase,Shell," 5,254,249,743 "
JPMorgan Chase,BP," 3,786,967,511 "
JPMorgan Chase,Abu Dhabi National Oil Co.," 2,237,955,598 "
JPMorgan Chase,Equinor," 2,467,310,391 "
JPMorgan Chase,China National Offshore Oil Co.," 348,030,303 "
JPMorgan Chase,EQT Corp.," 2,079,771,958 "
JPMorgan Chase,Petr—leos Mexicanos (Pemex)," 6,067,415,093 "
JPMorgan Chase,Pioneer Natural Resources," 2,172,293,166 "
JPMorgan Chase,Diamondback Energy," 2,684,537,709 "
Citi,QatarEnergy," 1,744,444,445 "
Citi,Saudi Aramco," 8,922,870,478 "
Citi,ExxonMobil," 15,330,564,109 "
Citi,Petro_leo Brasileiro (Petrobras)," 5,662,724,093 "
Citi,TotalEnergies," 2,524,616,738 "
Citi,Chevron," 3,456,276,374 "
Citi,Shell," 2,946,666,666 "
Citi,BP," 5,399,537,640 "
Citi,Abu Dhabi National Oil Co.," 1,371,724,236 "
Citi,Equinor," 1,815,789,474 "
Citi,China National Offshore Oil Co.," 348,030,303 "
Citi,EQT Corp.," 1,274,086,993 "
Citi,Petr—leos Mexicanos (Pemex)," 4,044,163,712 "
Citi,Pioneer Natural Resources," 1,801,566,666 "
Citi,Diamondback Energy," 1,228,106,382 "
Bank of America,QatarEnergy," 944,444,445 "
Bank of America,Saudi Aramco," 1,710,965,717 "
Bank of America,ExxonMobil," 15,330,564,109 "
Bank of America,Petro_leo Brasileiro (Petrobras)," 4,840,334,625 "
Bank of America,TotalEnergies," 2,085,119,900 "
Bank of America,Chevron," 3,456,276,374 "
Bank of America,Shell," 1,754,590,001 "
Bank of America,BP," 5,896,000,879 "
Bank of America,Abu Dhabi National Oil Co.," 559,734,063 "
Bank of America,Equinor," 2,467,310,391 "
Bank of America,EQT Corp.," 1,264,564,458 "
Bank of America,Petr—leos Mexicanos (Pemex)," 4,699,190,462 "
Bank of America,Pioneer Natural Resources," 2,180,524,999 "
Bank of America,Diamondback Energy," 1,698,535,715 "
BNP Paribas,Saudi Aramco," 6,672,870,478 "
BNP Paribas,ExxonMobil," 636,120,000 "
BNP Paribas,Petro_leo Brasileiro (Petrobras)," 2,827,129,803 "
BNP Paribas,TotalEnergies," 5,857,890,863 "
BNP Paribas,Chevron," 1,189,610,373 "
BNP Paribas,Shell," 8,333,849,245 "
BNP Paribas,BP," 15,375,999,773 "
BNP Paribas,Abu Dhabi National Oil Co.," 357,142,857 "
